c Energy offset 776.000000
c qubo topology maxNodes nNodes nCouplers
p qubo 0 65 65 0
c Fields
1 2 2.000000
1 3 2.000000
1 4 2.000000
1 5 2.000000
1 6 2.000000
1 7 2.000000
1 8 2.000000
1 9 4.000000
1 10 4.000000
1 11 2.000000
1 12 2.000000
1 13 2.000000
1 14 2.000000
1 15 2.000000
1 16 2.000000
1 17 2.000000
1 18 2.000000
1 19 2.000000
1 20 2.000000
1 21 2.000000
1 22 2.000000
1 23 2.000000
1 24 2.000000
1 25 2.000000
1 26 2.000000
1 27 2.000000
1 28 2.000000
1 29 2.000000
1 30 2.000000
1 31 2.000000
1 32 2.000000
1 33 2.000000
1 34 2.000000
1 35 2.000000
1 36 2.000000
1 37 2.000000
1 38 2.000000
1 39 2.000000
1 40 -3.000000
1 45 -3.000000
2 3 4.000000
2 4 4.000000
2 5 4.000000
2 6 2.000000
2 7 2.000000
2 8 2.000000
2 9 2.000000
2 10 2.000000
2 11 2.000000
2 12 2.000000
2 13 2.000000
2 14 2.000000
2 15 2.000000
2 16 2.000000
2 17 2.000000
2 18 2.000000
2 19 2.000000
2 20 2.000000
2 21 2.000000
2 22 2.000000
2 23 2.000000
2 24 2.000000
2 25 2.000000
2 26 2.000000
2 27 2.000000
2 28 2.000000
2 29 2.000000
2 30 2.000000
2 31 2.000000
2 32 2.000000
2 33 2.000000
2 34 2.000000
2 35 2.000000
2 36 2.000000
2 37 2.000000
2 38 2.000000
2 39 2.000000
2 41 -3.000000
2 42 -3.000000
3 4 2.000000
3 5 2.000000
3 6 2.000000
3 7 2.000000
3 8 2.000000
3 9 4.000000
3 10 2.000000
3 11 4.000000
3 12 4.000000
3 13 2.000000
3 14 2.000000
3 15 2.000000
3 16 2.000000
3 17 2.000000
3 18 2.000000
3 19 2.000000
3 20 2.000000
3 21 2.000000
3 22 2.000000
3 23 2.000000
3 24 2.000000
3 25 2.000000
3 26 2.000000
3 27 2.000000
3 28 2.000000
3 29 2.000000
3 30 2.000000
3 31 2.000000
3 32 2.000000
3 33 2.000000
3 34 2.000000
3 35 2.000000
3 36 2.000000
3 37 2.000000
3 38 2.000000
3 39 2.000000
3 41 -3.000000
3 46 -3.000000
4 5 4.000000
4 6 4.000000
4 7 4.000000
4 8 2.000000
4 9 2.000000
4 10 2.000000
4 11 2.000000
4 12 2.000000
4 13 2.000000
4 14 2.000000
4 15 2.000000
4 16 2.000000
4 17 2.000000
4 18 2.000000
4 19 2.000000
4 20 2.000000
4 21 2.000000
4 22 2.000000
4 23 2.000000
4 24 2.000000
4 25 2.000000
4 26 2.000000
4 27 2.000000
4 28 2.000000
4 29 2.000000
4 30 2.000000
4 31 2.000000
4 32 2.000000
4 33 2.000000
4 34 2.000000
4 35 2.000000
4 36 2.000000
4 37 2.000000
4 38 2.000000
4 39 2.000000
4 42 -3.000000
4 43 -3.000000
5 6 2.000000
5 7 2.000000
5 8 2.000000
5 9 2.000000
5 10 2.000000
5 11 4.000000
5 12 2.000000
5 13 4.000000
5 14 4.000000
5 15 2.000000
5 16 2.000000
5 17 2.000000
5 18 2.000000
5 19 2.000000
5 20 2.000000
5 21 2.000000
5 22 2.000000
5 23 2.000000
5 24 2.000000
5 25 2.000000
5 26 2.000000
5 27 2.000000
5 28 2.000000
5 29 2.000000
5 30 2.000000
5 31 2.000000
5 32 2.000000
5 33 2.000000
5 34 2.000000
5 35 2.000000
5 36 2.000000
5 37 2.000000
5 38 2.000000
5 39 2.000000
5 42 -3.000000
5 47 -3.000000
6 7 4.000000
6 8 4.000000
6 9 2.000000
6 10 2.000000
6 11 2.000000
6 12 2.000000
6 13 2.000000
6 14 2.000000
6 15 2.000000
6 16 2.000000
6 17 2.000000
6 18 2.000000
6 19 2.000000
6 20 2.000000
6 21 2.000000
6 22 2.000000
6 23 2.000000
6 24 2.000000
6 25 2.000000
6 26 2.000000
6 27 2.000000
6 28 2.000000
6 29 2.000000
6 30 2.000000
6 31 2.000000
6 32 2.000000
6 33 2.000000
6 34 2.000000
6 35 2.000000
6 36 2.000000
6 37 2.000000
6 38 2.000000
6 39 2.000000
6 43 -3.000000
6 44 -3.000000
7 8 2.000000
7 9 2.000000
7 10 2.000000
7 11 2.000000
7 12 2.000000
7 13 4.000000
7 14 2.000000
7 15 4.000000
7 16 4.000000
7 17 2.000000
7 18 2.000000
7 19 2.000000
7 20 2.000000
7 21 2.000000
7 22 2.000000
7 23 2.000000
7 24 2.000000
7 25 2.000000
7 26 2.000000
7 27 2.000000
7 28 2.000000
7 29 2.000000
7 30 2.000000
7 31 2.000000
7 32 2.000000
7 33 2.000000
7 34 2.000000
7 35 2.000000
7 36 2.000000
7 37 2.000000
7 38 2.000000
7 39 2.000000
7 43 -3.000000
7 48 -3.000000
8 9 2.000000
8 10 2.000000
8 11 2.000000
8 12 2.000000
8 13 2.000000
8 14 2.000000
8 15 4.000000
8 16 2.000000
8 17 4.000000
8 18 2.000000
8 19 2.000000
8 20 2.000000
8 21 2.000000
8 22 2.000000
8 23 2.000000
8 24 2.000000
8 25 2.000000
8 26 2.000000
8 27 2.000000
8 28 2.000000
8 29 2.000000
8 30 2.000000
8 31 2.000000
8 32 2.000000
8 33 2.000000
8 34 2.000000
8 35 2.000000
8 36 2.000000
8 37 2.000000
8 38 2.000000
8 39 2.000000
8 44 -3.000000
8 49 -3.000000
9 10 4.000000
9 11 4.000000
9 12 4.000000
9 13 2.000000
9 14 2.000000
9 15 2.000000
9 16 2.000000
9 17 2.000000
9 18 2.000000
9 19 2.000000
9 20 2.000000
9 21 2.000000
9 22 2.000000
9 23 2.000000
9 24 2.000000
9 25 2.000000
9 26 2.000000
9 27 2.000000
9 28 2.000000
9 29 2.000000
9 30 2.000000
9 31 2.000000
9 32 2.000000
9 33 2.000000
9 34 2.000000
9 35 2.000000
9 36 2.000000
9 37 2.000000
9 38 2.000000
9 39 2.000000
9 45 -3.000000
9 46 -3.000000
10 11 2.000000
10 12 2.000000
10 13 2.000000
10 14 2.000000
10 15 2.000000
10 16 2.000000
10 17 2.000000
10 18 4.000000
10 19 4.000000
10 20 2.000000
10 21 2.000000
10 22 2.000000
10 23 2.000000
10 24 2.000000
10 25 2.000000
10 26 2.000000
10 27 2.000000
10 28 2.000000
10 29 2.000000
10 30 2.000000
10 31 2.000000
10 32 2.000000
10 33 2.000000
10 34 2.000000
10 35 2.000000
10 36 2.000000
10 37 2.000000
10 38 2.000000
10 39 2.000000
10 45 -3.000000
10 50 -3.000000
11 12 4.000000
11 13 4.000000
11 14 4.000000
11 15 2.000000
11 16 2.000000
11 17 2.000000
11 18 2.000000
11 19 2.000000
11 20 2.000000
11 21 2.000000
11 22 2.000000
11 23 2.000000
11 24 2.000000
11 25 2.000000
11 26 2.000000
11 27 2.000000
11 28 2.000000
11 29 2.000000
11 30 2.000000
11 31 2.000000
11 32 2.000000
11 33 2.000000
11 34 2.000000
11 35 2.000000
11 36 2.000000
11 37 2.000000
11 38 2.000000
11 39 2.000000
11 46 -3.000000
11 47 -3.000000
12 13 2.000000
12 14 2.000000
12 15 2.000000
12 16 2.000000
12 17 2.000000
12 18 4.000000
12 19 2.000000
12 20 4.000000
12 21 4.000000
12 22 2.000000
12 23 2.000000
12 24 2.000000
12 25 2.000000
12 26 2.000000
12 27 2.000000
12 28 2.000000
12 29 2.000000
12 30 2.000000
12 31 2.000000
12 32 2.000000
12 33 2.000000
12 34 2.000000
12 35 2.000000
12 36 2.000000
12 37 2.000000
12 38 2.000000
12 39 2.000000
12 46 -3.000000
12 51 -3.000000
13 14 4.000000
13 15 4.000000
13 16 4.000000
13 17 2.000000
13 18 2.000000
13 19 2.000000
13 20 2.000000
13 21 2.000000
13 22 2.000000
13 23 2.000000
13 24 2.000000
13 25 2.000000
13 26 2.000000
13 27 2.000000
13 28 2.000000
13 29 2.000000
13 30 2.000000
13 31 2.000000
13 32 2.000000
13 33 2.000000
13 34 2.000000
13 35 2.000000
13 36 2.000000
13 37 2.000000
13 38 2.000000
13 39 2.000000
13 47 -3.000000
13 48 -3.000000
14 15 2.000000
14 16 2.000000
14 17 2.000000
14 18 2.000000
14 19 2.000000
14 20 4.000000
14 21 2.000000
14 22 4.000000
14 23 4.000000
14 24 2.000000
14 25 2.000000
14 26 2.000000
14 27 2.000000
14 28 2.000000
14 29 2.000000
14 30 2.000000
14 31 2.000000
14 32 2.000000
14 33 2.000000
14 34 2.000000
14 35 2.000000
14 36 2.000000
14 37 2.000000
14 38 2.000000
14 39 2.000000
14 47 -3.000000
14 52 -3.000000
15 16 4.000000
15 17 4.000000
15 18 2.000000
15 19 2.000000
15 20 2.000000
15 21 2.000000
15 22 2.000000
15 23 2.000000
15 24 2.000000
15 25 2.000000
15 26 2.000000
15 27 2.000000
15 28 2.000000
15 29 2.000000
15 30 2.000000
15 31 2.000000
15 32 2.000000
15 33 2.000000
15 34 2.000000
15 35 2.000000
15 36 2.000000
15 37 2.000000
15 38 2.000000
15 39 2.000000
15 48 -3.000000
15 49 -3.000000
16 17 2.000000
16 18 2.000000
16 19 2.000000
16 20 2.000000
16 21 2.000000
16 22 4.000000
16 23 2.000000
16 24 4.000000
16 25 4.000000
16 26 2.000000
16 27 2.000000
16 28 2.000000
16 29 2.000000
16 30 2.000000
16 31 2.000000
16 32 2.000000
16 33 2.000000
16 34 2.000000
16 35 2.000000
16 36 2.000000
16 37 2.000000
16 38 2.000000
16 39 2.000000
16 48 -3.000000
16 53 -3.000000
17 18 2.000000
17 19 2.000000
17 20 2.000000
17 21 2.000000
17 22 2.000000
17 23 2.000000
17 24 4.000000
17 25 2.000000
17 26 4.000000
17 27 2.000000
17 28 2.000000
17 29 2.000000
17 30 2.000000
17 31 2.000000
17 32 2.000000
17 33 2.000000
17 34 2.000000
17 35 2.000000
17 36 2.000000
17 37 2.000000
17 38 2.000000
17 39 2.000000
17 49 -3.000000
17 54 -3.000000
18 19 4.000000
18 20 4.000000
18 21 4.000000
18 22 2.000000
18 23 2.000000
18 24 2.000000
18 25 2.000000
18 26 2.000000
18 27 2.000000
18 28 2.000000
18 29 2.000000
18 30 2.000000
18 31 2.000000
18 32 2.000000
18 33 2.000000
18 34 2.000000
18 35 2.000000
18 36 2.000000
18 37 2.000000
18 38 2.000000
18 39 2.000000
18 50 -3.000000
18 51 -3.000000
19 20 2.000000
19 21 2.000000
19 22 2.000000
19 23 2.000000
19 24 2.000000
19 25 2.000000
19 26 2.000000
19 27 4.000000
19 28 4.000000
19 29 2.000000
19 30 2.000000
19 31 2.000000
19 32 2.000000
19 33 2.000000
19 34 2.000000
19 35 2.000000
19 36 2.000000
19 37 2.000000
19 38 2.000000
19 39 2.000000
19 50 -3.000000
19 55 -3.000000
20 21 4.000000
20 22 4.000000
20 23 4.000000
20 24 2.000000
20 25 2.000000
20 26 2.000000
20 27 2.000000
20 28 2.000000
20 29 2.000000
20 30 2.000000
20 31 2.000000
20 32 2.000000
20 33 2.000000
20 34 2.000000
20 35 2.000000
20 36 2.000000
20 37 2.000000
20 38 2.000000
20 39 2.000000
20 51 -3.000000
20 52 -3.000000
21 22 2.000000
21 23 2.000000
21 24 2.000000
21 25 2.000000
21 26 2.000000
21 27 4.000000
21 28 2.000000
21 29 4.000000
21 30 4.000000
21 31 2.000000
21 32 2.000000
21 33 2.000000
21 34 2.000000
21 35 2.000000
21 36 2.000000
21 37 2.000000
21 38 2.000000
21 39 2.000000
21 51 -3.000000
21 56 -3.000000
22 23 4.000000
22 24 4.000000
22 25 4.000000
22 26 2.000000
22 27 2.000000
22 28 2.000000
22 29 2.000000
22 30 2.000000
22 31 2.000000
22 32 2.000000
22 33 2.000000
22 34 2.000000
22 35 2.000000
22 36 2.000000
22 37 2.000000
22 38 2.000000
22 39 2.000000
22 52 -3.000000
22 53 -3.000000
23 24 2.000000
23 25 2.000000
23 26 2.000000
23 27 2.000000
23 28 2.000000
23 29 4.000000
23 30 2.000000
23 31 4.000000
23 32 4.000000
23 33 2.000000
23 34 2.000000
23 35 2.000000
23 36 2.000000
23 37 2.000000
23 38 2.000000
23 39 2.000000
23 52 -3.000000
23 57 -3.000000
24 25 4.000000
24 26 4.000000
24 27 2.000000
24 28 2.000000
24 29 2.000000
24 30 2.000000
24 31 2.000000
24 32 2.000000
24 33 2.000000
24 34 2.000000
24 35 2.000000
24 36 2.000000
24 37 2.000000
24 38 2.000000
24 39 2.000000
24 53 -3.000000
24 54 -3.000000
25 26 2.000000
25 27 2.000000
25 28 2.000000
25 29 2.000000
25 30 2.000000
25 31 4.000000
25 32 2.000000
25 33 4.000000
25 34 4.000000
25 35 2.000000
25 36 2.000000
25 37 2.000000
25 38 2.000000
25 39 2.000000
25 53 -3.000000
25 58 -3.000000
26 27 2.000000
26 28 2.000000
26 29 2.000000
26 30 2.000000
26 31 2.000000
26 32 2.000000
26 33 4.000000
26 34 2.000000
26 35 4.000000
26 36 2.000000
26 37 2.000000
26 38 2.000000
26 39 2.000000
26 54 -3.000000
26 59 -3.000000
27 28 4.000000
27 29 4.000000
27 30 4.000000
27 31 2.000000
27 32 2.000000
27 33 2.000000
27 34 2.000000
27 35 2.000000
27 36 2.000000
27 37 2.000000
27 38 2.000000
27 39 2.000000
27 55 -3.000000
27 56 -3.000000
28 29 2.000000
28 30 2.000000
28 31 2.000000
28 32 2.000000
28 33 2.000000
28 34 2.000000
28 35 2.000000
28 36 4.000000
28 37 2.000000
28 38 2.000000
28 39 2.000000
28 55 -3.000000
28 60 -3.000000
29 30 4.000000
29 31 4.000000
29 32 4.000000
29 33 2.000000
29 34 2.000000
29 35 2.000000
29 36 2.000000
29 37 2.000000
29 38 2.000000
29 39 2.000000
29 56 -3.000000
29 57 -3.000000
30 31 2.000000
30 32 2.000000
30 33 2.000000
30 34 2.000000
30 35 2.000000
30 36 4.000000
30 37 4.000000
30 38 2.000000
30 39 2.000000
30 56 -3.000000
30 61 -3.000000
31 32 4.000000
31 33 4.000000
31 34 4.000000
31 35 2.000000
31 36 2.000000
31 37 2.000000
31 38 2.000000
31 39 2.000000
31 57 -3.000000
31 58 -3.000000
32 33 2.000000
32 34 2.000000
32 35 2.000000
32 36 2.000000
32 37 4.000000
32 38 4.000000
32 39 2.000000
32 57 -3.000000
32 62 -3.000000
33 34 4.000000
33 35 4.000000
33 36 2.000000
33 37 2.000000
33 38 2.000000
33 39 2.000000
33 58 -3.000000
33 59 -3.000000
34 35 2.000000
34 36 2.000000
34 37 2.000000
34 38 4.000000
34 39 4.000000
34 58 -3.000000
34 63 -3.000000
35 36 2.000000
35 37 2.000000
35 38 2.000000
35 39 4.000000
35 59 -3.000000
35 64 -3.000000
36 37 4.000000
36 38 2.000000
36 39 2.000000
36 60 -3.000000
36 61 -3.000000
37 38 4.000000
37 39 2.000000
37 61 -3.000000
37 62 -3.000000
38 39 4.000000
38 62 -3.000000
38 63 -3.000000
39 63 -3.000000
39 64 -3.000000
